TIP — Profit & Loss Summary (2026-2028),,,
,,,
,Year 1,Year 2,Year 3
Revenue,"$440,000","$1,256,000","$5,154,000"
COGS,"($220,000)","($495,000)","($1,900,000)"
Gross Profit,"$220,000","$761,000","$3,254,000"
Operating Expenses,"($263,200)","($468,700)","($921,600)"
EBITDA,"($43,200)","$292,300","$2,332,400"
D&A,"($5,000)","($10,000)","($15,000)"
Interest,"($2,000)","($3,000)","($4,000)"
Net Income (Pre-Tax),"($50,200)","$279,300","$2,313,400"
Tax (20%),$0,"($55,860)","($462,680)"
Net Income,"($50,200)","$223,440","$1,850,720"
